Java HotSpot(TM) 64-Bit Server VM (24.79-b02) for linux-amd64 JRE (1.7.0_79-b15), built on Apr 10 2015 11:34:48 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
56.197: [GC [PSYoungGen: 267392K->30112K(293888K)] 750530K->534282K(993280K), 0.0201810 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
56.283: [GC [PSYoungGen: 274336K->36448K(281088K)] 778506K->570314K(980480K), 0.0276550 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
56.382: [GC [PSYoungGen: 280672K->34976K(286720K)] 814538K->604394K(986112K), 0.0229180 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
56.465: [GC [PSYoungGen: 264864K->30528K(260608K)] 834282K->635050K(960000K), 0.0367110 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
56.565: [GC [PSYoungGen: 260416K->36128K(285184K)] 864938K->671274K(984576K), 0.0402200 secs] [Times: user=0.16 sys=0.00, real=0.04 secs] 
56.677: [GC [PSYoungGen: 260896K->29920K(287232K)] 896042K->701322K(986624K), 0.0331540 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
56.710: [Full GC [PSYoungGen: 29920K->0K(287232K)] [ParOldGen: 671402K->363979K(699392K)] 701322K->363979K(986624K) [PSPermGen: 44839K->44839K(97280K)], 0.4689410 secs] [Times: user=1.25 sys=0.00, real=0.46 secs] 
57.223: [GC [PSYoungGen: 224768K->96K(288256K)] 588747K->364075K(987648K), 0.0048030 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
57.269: [GC [PSYoungGen: 226912K->96K(288256K)] 590891K->364091K(987648K), 0.0038060 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
57.316: [GC [PSYoungGen: 226912K->96K(290304K)] 590907K->364107K(989696K), 0.0057860 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
57.372: [GC [PSYoungGen: 229984K->64K(289280K)] 593995K->364083K(988672K), 0.0033200 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
57.429: [GC [PSYoungGen: 229952K->96K(293888K)] 593971K->364131K(993280K), 0.0051610 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
57.479: [GC [PSYoungGen: 236128K->96K(291840K)] 600163K->364163K(991232K), 0.0027820 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
57.540: [GC [PSYoungGen: 236128K->96K(297984K)] 600195K->364171K(997376K), 0.0034840 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
57.597: [GC [PSYoungGen: 244320K->64K(295936K)] 608395K->364139K(995328K), 0.0039360 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
57.663: [GC [PSYoungGen: 244288K->64K(302592K)] 608363K->364139K(1001984K), 0.0034970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
57.724: [GC [PSYoungGen: 253504K->128K(300544K)] 617579K->364203K(999936K), 0.0035960 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
57.786: [GC [PSYoungGen: 253568K->64K(307200K)] 617643K->364139K(1006592K), 0.0034770 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
57.849: [GC [PSYoungGen: 262720K->96K(305152K)] 626795K->364171K(1004544K), 0.0039060 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
